Algoritmo,Variável Independente,Coeficiente de Correlação,P-Valor,Inclinação (Slope),Intercepto
Dijkstra,Número de Vértices,0.9626025541421293,1.0835386455968594e-15,1.605321495662473e-06,-0.010584518118571917
Dijkstra,Número de Arestas,0.962732606139975,1.0380985785270077e-15,8.03508274481508e-07,-0.012136343481612936
Dijkstra,Densidade do Grafo,-0.6655282116371259,0.00015168663810089246,-851.8467594424964,0.1748240374247382
Astar,Número de Vértices,0.9425140618158436,2.0961004290125378e-13,4.322783316616527e-07,0.004321706775262687
Astar,Número de Arestas,0.9432159569925896,1.8046166955806925e-13,2.1649926630433563e-07,0.0038833157888303266
Astar,Densidade do Grafo,-0.7354359220364515,1.2403531962888305e-05,-258.88116937540116,0.05639337941752281
Bellman ford,Número de Vértices,0.967273638398748,2.096571565290011e-16,8.397773869591943e-05,-2.200914604916889
Bellman ford,Número de Arestas,0.9667474447706303,2.5519168495079604e-16,4.200466430180932e-05,-2.2776534197949263
Bellman ford,Densidade do Grafo,-0.5223318446389862,0.0051916533740657845,-34804.974707363464,6.7886335387226335
Bidirectional dijkstra,Número de Vértices,0.9332320214908874,1.2940070222439598e-12,1.50389105945212e-06,-0.004231464101916815
Bidirectional dijkstra,Número de Arestas,0.9334410457209007,1.2456976580008523e-12,7.52806396501997e-07,-0.005695645957538164
Bidirectional dijkstra,Densidade do Grafo,-0.5923438695454977,0.0011327125464691786,-732.6231502437245,0.16470606043294442
Bidirectional a star,Número de Vértices,0.8879050291519065,6.540590388958162e-10,3.94294639076916e-08,6.959404959397468e-05
Bidirectional a star,Número de Arestas,0.8886191531457776,6.062574592413417e-10,1.974875342425257e-08,2.9424134029750536e-05
Bidirectional a star,Densidade do Grafo,-0.6378808777215188,0.0003443543743184831,-21.740720562293838,0.004683028540106228
