Algoritmo,Variável Independente,Coeficiente de Correlação,P-Valor,Inclinação (Slope),Intercepto
Dijkstra,Número de Vértices,0.9279835633355813,5.019680026715972e-10,9.253576064307673e-07,-0.008889993649620924
Dijkstra,Número de Arestas,0.9387393263609325,1.0419352460630472e-10,5.666577897662118e-07,-0.007697367154573967
Dijkstra,Densidade do Grafo,-0.31865871053053313,0.14834753184356847,-23.77066770791582,0.02617129996628578
Astar,Número de Vértices,0.8567169333120139,3.5946819809939646e-07,3.8290240450610124e-07,-0.0026989637246865256
Astar,Número de Arestas,0.8627274608240896,2.403794039498465e-07,2.3341614954738534e-07,-0.002149779069624608
Astar,Densidade do Grafo,-0.30261684263872585,0.17103159056409117,-10.11789363944227,0.01185771492455391
Bellman ford,Número de Vértices,0.962259959169462,9.051680042172891e-13,2.7505020032741537e-05,-0.2996594747853342
Bellman ford,Número de Arestas,0.9706796542838718,7.50880507815849e-14,1.6795851020850518e-05,-0.26172632938409696
Bellman ford,Densidade do Grafo,-0.3220088404873511,0.1438919085887182,-688.547042792788,0.7393789009393169
Bidirectional dijkstra,Número de Vértices,0.8416479330036963,9.148776101162921e-07,9.988879687159589e-07,-0.010376760441789276
Bidirectional dijkstra,Número de Arestas,0.8514281141780453,5.047391413930419e-07,6.117033283954847e-07,-0.009090312614838027
Bidirectional dijkstra,Densidade do Grafo,-0.2822182240061636,0.20319203153391752,-25.056340773885545,0.027366307160226415
Bidirectional a star,Número de Vértices,0.7879379819390583,1.3374660958476201e-05,7.93402636275831e-08,-0.0006252652104124311
Bidirectional a star,Número de Arestas,0.7936722464205679,1.0432710178208553e-05,4.83781585324348e-08,-0.0005121303530252617
Bidirectional a star,Densidade do Grafo,-0.285556839778007,0.1976690878773074,-2.151000155552217,0.0024004072099735414
