Endereço de Origem,Latitude,Longitude,Raio de Busca (m),Tipo de Estabelecimento,Número de Vértices,Número de Arestas,Densidade do Grafo,Tempo Médio Dijkstra (s),Tempo Médio Astar (s),Tempo Médio Bellman ford (s),Tempo Médio Bidirectional dijkstra (s),Tempo Médio Bidirectional a star (s)
"Estrada Philúvio Cerqueira Rodrigues, Parque do Imbuí, Teresópolis, Região Geográfica Imediata de Petrópolis, Região Metropolitana do Rio de Janeiro, Região Geográfica Intermediária de Petrópolis, Rio de Janeiro, Região Sudeste, 25966-001, Brasil",-22.4093746,-43.0140401,10500,pizza,53172,106530,3.768027837913776e-05,0.021030545234680176,0.007167220115661621,0.42250144481658936,0.019501328468322754,0.0017560720443725586
"Estrada Philúvio Cerqueira Rodrigues, Parque do Imbuí, Teresópolis, Região Geográfica Imediata de Petrópolis, Região Metropolitana do Rio de Janeiro, Região Geográfica Intermediária de Petrópolis, Rio de Janeiro, Região Sudeste, 25966-001, Brasil",-22.4093746,-43.0140401,11000,pizza,56204,112632,3.5656201296379094e-05,0.11359751224517822,0.00728917121887207,0.3599950075149536,0.019992351531982422,0.002003312110900879
"Estrada Philúvio Cerqueira Rodrigues, Parque do Imbuí, Teresópolis, Região Geográfica Imediata de Petrópolis, Região Metropolitana do Rio de Janeiro, Região Geográfica Intermediária de Petrópolis, Rio de Janeiro, Região Sudeste, 25966-001, Brasil",-22.4093746,-43.0140401,11500,pizza,59888,119987,3.3455061088177015e-05,0.04170107841491699,0.015509366989135742,0.6312364339828491,0.03199887275695801,0.00401914119720459
"Estrada Philúvio Cerqueira Rodrigues, Parque do Imbuí, Teresópolis, Região Geográfica Imediata de Petrópolis, Região Metropolitana do Rio de Janeiro, Região Geográfica Intermediária de Petrópolis, Rio de Janeiro, Região Sudeste, 25966-001, Brasil",-22.4093746,-43.0140401,12000,pizza,61982,124004,3.2278365122369884e-05,0.020500779151916504,0.0075234174728393555,0.513689398765564,0.021499156951904297,0.0025005340576171875
"Estrada Philúvio Cerqueira Rodrigues, Parque do Imbuí, Teresópolis, Região Geográfica Imediata de Petrópolis, Região Metropolitana do Rio de Janeiro, Região Geográfica Intermediária de Petrópolis, Rio de Janeiro, Região Sudeste, 25966-001, Brasil",-22.4093746,-43.0140401,12500,pizza,68276,136168,2.9210923016299385e-05,0.019504308700561523,0.006499648094177246,0.5719760656356812,0.01999485492706299,0.002001643180847168
"Estrada Philúvio Cerqueira Rodrigues, Parque do Imbuí, Teresópolis, Região Geográfica Imediata de Petrópolis, Região Metropolitana do Rio de Janeiro, Região Geográfica Intermediária de Petrópolis, Rio de Janeiro, Região Sudeste, 25966-001, Brasil",-22.4093746,-43.0140401,13000,pizza,74924,149231,2.6584159584129065e-05,0.03325545787811279,0.013000845909118652,1.0632426738739014,0.03503847122192383,0.0035353899002075195
"Estrada Philúvio Cerqueira Rodrigues, Parque do Imbuí, Teresópolis, Região Geográfica Imediata de Petrópolis, Região Metropolitana do Rio de Janeiro, Região Geográfica Intermediária de Petrópolis, Rio de Janeiro, Região Sudeste, 25966-001, Brasil",-22.4093746,-43.0140401,13500,pizza,81199,161854,2.454863925347389e-05,0.03406703472137451,0.01234126091003418,1.2430006265640259,0.03154885768890381,0.003999948501586914
"Estrada Philúvio Cerqueira Rodrigues, Parque do Imbuí, Teresópolis, Região Geográfica Imediata de Petrópolis, Região Metropolitana do Rio de Janeiro, Região Geográfica Intermediária de Petrópolis, Rio de Janeiro, Região Sudeste, 25966-001, Brasil",-22.4093746,-43.0140401,14000,pizza,84554,168357,2.354875760814281e-05,0.033290863037109375,0.012993216514587402,1.2078169584274292,0.037661075592041016,0.007003307342529297
"Estrada Philúvio Cerqueira Rodrigues, Parque do Imbuí, Teresópolis, Região Geográfica Imediata de Petrópolis, Região Metropolitana do Rio de Janeiro, Região Geográfica Intermediária de Petrópolis, Rio de Janeiro, Região Sudeste, 25966-001, Brasil",-22.4093746,-43.0140401,14500,pizza,92744,184770,2.1481494660453098e-05,0.032108306884765625,0.011738777160644531,1.3106213808059692,0.04480135440826416,0.0035001039505004883
"Estrada Philúvio Cerqueira Rodrigues, Parque do Imbuí, Teresópolis, Região Geográfica Imediata de Petrópolis, Região Metropolitana do Rio de Janeiro, Região Geográfica Intermediária de Petrópolis, Rio de Janeiro, Região Sudeste, 25966-001, Brasil",-22.4093746,-43.0140401,15000,pizza,100259,199761,1.9873222642092047e-05,0.018996238708496094,0.006499886512756348,0.9991869926452637,0.01897752285003662,0.0025069713592529297
