Endereço de Origem,Latitude,Longitude,Raio de Busca (m),Tipo de Estabelecimento,Número de Vértices,Número de Arestas,Densidade do Grafo,Tempo Médio Dijkstra (s),Tempo Médio Astar (s),Tempo Médio Bellman ford (s),Tempo Médio Bidirectional dijkstra (s),Tempo Médio Bidirectional a star (s)
"Rua General Olímpio, Santa Cruz, Rio de Janeiro, Região Geográfica Imediata do Rio de Janeiro, Região Metropolitana do Rio de Janeiro, Região Geográfica Intermediária do Rio de Janeiro, Rio de Janeiro, Região Sudeste, 23510-000, Brasil",-22.9206318,-43.680431,500,pizza,409,562,0.0033678508078047844,0.0,0.0,0.0009999275207519531,0.0,0.0
"Rua General Olímpio, Santa Cruz, Rio de Janeiro, Região Geográfica Imediata do Rio de Janeiro, Região Metropolitana do Rio de Janeiro, Região Geográfica Intermediária do Rio de Janeiro, Rio de Janeiro, Região Sudeste, 23510-000, Brasil",-22.9206318,-43.680431,1000,pizza,1511,2682,0.0011754857315667445,0.0,0.0,0.006000995635986328,0.0,0.0009982585906982422
"Rua General Olímpio, Santa Cruz, Rio de Janeiro, Região Geográfica Imediata do Rio de Janeiro, Região Metropolitana do Rio de Janeiro, Região Geográfica Intermediária do Rio de Janeiro, Rio de Janeiro, Região Sudeste, 23510-000, Brasil",-22.9206318,-43.680431,1500,pizza,3212,6065,0.0005880509596332346,0.0010004043579101562,0.0,0.015082359313964844,0.0,0.0
"Rua General Olímpio, Santa Cruz, Rio de Janeiro, Região Geográfica Imediata do Rio de Janeiro, Região Metropolitana do Rio de Janeiro, Região Geográfica Intermediária do Rio de Janeiro, Rio de Janeiro, Região Sudeste, 23510-000, Brasil",-22.9206318,-43.680431,2000,pizza,5898,11561,0.00033239884434113756,0.0,0.0,0.03711390495300293,0.0010004043579101562,0.0
"Rua General Olímpio, Santa Cruz, Rio de Janeiro, Região Geográfica Imediata do Rio de Janeiro, Região Metropolitana do Rio de Janeiro, Região Geográfica Intermediária do Rio de Janeiro, Rio de Janeiro, Região Sudeste, 23510-000, Brasil",-22.9206318,-43.680431,2500,pizza,8203,16628,0.0002471425590752909,0.0,0.0,0.06472015380859375,0.0,0.0
"Rua General Olímpio, Santa Cruz, Rio de Janeiro, Região Geográfica Imediata do Rio de Janeiro, Região Metropolitana do Rio de Janeiro, Região Geográfica Intermediária do Rio de Janeiro, Rio de Janeiro, Região Sudeste, 23510-000, Brasil",-22.9206318,-43.680431,3000,pizza,10357,21177,0.00019744148946346596,0.0010001659393310547,0.0,0.08852314949035645,0.0,0.0
"Rua General Olímpio, Santa Cruz, Rio de Janeiro, Região Geográfica Imediata do Rio de Janeiro, Região Metropolitana do Rio de Janeiro, Região Geográfica Intermediária do Rio de Janeiro, Rio de Janeiro, Região Sudeste, 23510-000, Brasil",-22.9206318,-43.680431,3500,pizza,12276,25064,0.00016633054147015123,0.0,0.0,0.10358500480651855,0.0,0.0
"Rua General Olímpio, Santa Cruz, Rio de Janeiro, Região Geográfica Imediata do Rio de Janeiro, Região Metropolitana do Rio de Janeiro, Região Geográfica Intermediária do Rio de Janeiro, Rio de Janeiro, Região Sudeste, 23510-000, Brasil",-22.9206318,-43.680431,4000,pizza,14495,29713,0.0001414295066036532,0.0,0.0,0.12987160682678223,0.0,0.0
"Rua General Olímpio, Santa Cruz, Rio de Janeiro, Região Geográfica Imediata do Rio de Janeiro, Região Metropolitana do Rio de Janeiro, Região Geográfica Intermediária do Rio de Janeiro, Rio de Janeiro, Região Sudeste, 23510-000, Brasil",-22.9206318,-43.680431,4500,pizza,17206,35636,0.00012038000436646071,0.0,0.0,0.16513323783874512,0.0,0.0
"Rua General Olímpio, Santa Cruz, Rio de Janeiro, Região Geográfica Imediata do Rio de Janeiro, Região Metropolitana do Rio de Janeiro, Região Geográfica Intermediária do Rio de Janeiro, Rio de Janeiro, Região Sudeste, 23510-000, Brasil",-22.9206318,-43.680431,5000,pizza,19563,40690,0.00010632587866370848,0.0010001659393310547,0.0,0.1974942684173584,0.0010058879852294922,0.0
"Rua General Olímpio, Santa Cruz, Rio de Janeiro, Região Geográfica Imediata do Rio de Janeiro, Região Metropolitana do Rio de Janeiro, Região Geográfica Intermediária do Rio de Janeiro, Rio de Janeiro, Região Sudeste, 23510-000, Brasil",-22.9206318,-43.680431,5500,pizza,23513,48569,8.785400103063892e-05,0.0,0.0,0.2822685241699219,0.0,0.0
"Rua General Olímpio, Santa Cruz, Rio de Janeiro, Região Geográfica Imediata do Rio de Janeiro, Região Metropolitana do Rio de Janeiro, Região Geográfica Intermediária do Rio de Janeiro, Rio de Janeiro, Região Sudeste, 23510-000, Brasil",-22.9206318,-43.680431,6000,pizza,26665,55007,7.736616526831756e-05,0.0,0.0,0.46186017990112305,0.0,0.0
"Rua General Olímpio, Santa Cruz, Rio de Janeiro, Região Geográfica Imediata do Rio de Janeiro, Região Metropolitana do Rio de Janeiro, Região Geográfica Intermediária do Rio de Janeiro, Rio de Janeiro, Região Sudeste, 23510-000, Brasil",-22.9206318,-43.680431,6500,pizza,29477,60944,7.01421584420666e-05,0.0,0.0,0.3971099853515625,0.0,0.0009982585906982422
"Rua General Olímpio, Santa Cruz, Rio de Janeiro, Região Geográfica Imediata do Rio de Janeiro, Região Metropolitana do Rio de Janeiro, Região Geográfica Intermediária do Rio de Janeiro, Rio de Janeiro, Região Sudeste, 23510-000, Brasil",-22.9206318,-43.680431,7000,pizza,32406,67131,6.392719710137285e-05,0.0,0.0,0.5449206829071045,0.0,0.0
"Rua General Olímpio, Santa Cruz, Rio de Janeiro, Região Geográfica Imediata do Rio de Janeiro, Região Metropolitana do Rio de Janeiro, Região Geográfica Intermediária do Rio de Janeiro, Rio de Janeiro, Região Sudeste, 23510-000, Brasil",-22.9206318,-43.680431,7500,pizza,35075,72851,5.921783699678891e-05,0.00099945068359375,0.0,0.6361150741577148,0.0010006427764892578,0.0
"Rua General Olímpio, Santa Cruz, Rio de Janeiro, Região Geográfica Imediata do Rio de Janeiro, Região Metropolitana do Rio de Janeiro, Região Geográfica Intermediária do Rio de Janeiro, Rio de Janeiro, Região Sudeste, 23510-000, Brasil",-22.9206318,-43.680431,8000,pizza,37991,79319,5.4957530741702034e-05,0.0,0.0,0.7573134899139404,0.0,0.0
"Rua General Olímpio, Santa Cruz, Rio de Janeiro, Região Geográfica Imediata do Rio de Janeiro, Região Metropolitana do Rio de Janeiro, Região Geográfica Intermediária do Rio de Janeiro, Rio de Janeiro, Região Sudeste, 23510-000, Brasil",-22.9206318,-43.680431,8500,pizza,41945,87872,4.9945971818039965e-05,0.0,0.0,1.021855354309082,0.0,0.0
"Rua General Olímpio, Santa Cruz, Rio de Janeiro, Região Geográfica Imediata do Rio de Janeiro, Região Metropolitana do Rio de Janeiro, Região Geográfica Intermediária do Rio de Janeiro, Rio de Janeiro, Região Sudeste, 23510-000, Brasil",-22.9206318,-43.680431,9000,pizza,45746,95595,4.5681296358875976e-05,0.0,0.0,1.053178310394287,0.0,0.0
"Rua General Olímpio, Santa Cruz, Rio de Janeiro, Região Geográfica Imediata do Rio de Janeiro, Região Metropolitana do Rio de Janeiro, Região Geográfica Intermediária do Rio de Janeiro, Rio de Janeiro, Região Sudeste, 23510-000, Brasil",-22.9206318,-43.680431,9500,pizza,49730,103828,4.1984240689503935e-05,0.0,0.0,1.5439817905426025,0.0,0.0
"Rua General Olímpio, Santa Cruz, Rio de Janeiro, Região Geográfica Imediata do Rio de Janeiro, Região Metropolitana do Rio de Janeiro, Região Geográfica Intermediária do Rio de Janeiro, Rio de Janeiro, Região Sudeste, 23510-000, Brasil",-22.9206318,-43.680431,10000,pizza,53089,111026,3.939342887660151e-05,0.0,0.0,1.5886492729187012,0.0,0.0
"Rua General Olímpio, Santa Cruz, Rio de Janeiro, Região Geográfica Imediata do Rio de Janeiro, Região Metropolitana do Rio de Janeiro, Região Geográfica Intermediária do Rio de Janeiro, Rio de Janeiro, Região Sudeste, 23510-000, Brasil",-22.9206318,-43.680431,10500,pizza,56637,118625,3.69814053646825e-05,0.053975701332092285,0.022506237030029297,1.4377449750900269,0.05691862106323242,0.002610445022583008
"Rua General Olímpio, Santa Cruz, Rio de Janeiro, Região Geográfica Imediata do Rio de Janeiro, Região Metropolitana do Rio de Janeiro, Região Geográfica Intermediária do Rio de Janeiro, Rio de Janeiro, Região Sudeste, 23510-000, Brasil",-22.9206318,-43.680431,11000,pizza,60092,125606,3.478438229653762e-05,0.07735872268676758,0.05492321650187174,1.6726873715718586,0.15653403600056967,0.005021015803019206
"Rua General Olímpio, Santa Cruz, Rio de Janeiro, Região Geográfica Imediata do Rio de Janeiro, Região Metropolitana do Rio de Janeiro, Região Geográfica Intermediária do Rio de Janeiro, Rio de Janeiro, Região Sudeste, 23510-000, Brasil",-22.9206318,-43.680431,11500,pizza,63517,132963,3.295776007173636e-05,0.07498470942179362,0.053864240646362305,2.049133618672689,0.07735490798950195,0.004995981852213542
